Filename,Execution Time (seconds)
CBS_k3_n100_m449_b90_976.cnf,1.737941
CBS_k3_n100_m449_b90_366.cnf,1.247120
CBS_k3_n100_m449_b90_502.cnf,0.579453
CBS_k3_n100_m449_b90_478.cnf,0.187759
CBS_k3_n100_m449_b90_988.cnf,0.978735
CBS_k3_n100_m449_b90_701.cnf,0.741438
CBS_k3_n100_m449_b90_564.cnf,14.697680
CBS_k3_n100_m449_b90_883.cnf,2.723938
CBS_k3_n100_m449_b90_280.cnf,0.144820
CBS_k3_n100_m449_b90_11.cnf,0.620611
CBS_k3_n100_m449_b90_209.cnf,0.192019
CBS_k3_n100_m449_b90_73.cnf,0.302582
CBS_k3_n100_m449_b90_956.cnf,0.659793
CBS_k3_n100_m449_b90_819.cnf,3.416150
CBS_k3_n100_m449_b90_408.cnf,7.233973
CBS_k3_n100_m449_b90_709.cnf,0.084845
CBS_k3_n100_m449_b90_383.cnf,0.196727
CBS_k3_n100_m449_b90_61.cnf,0.528693
CBS_k3_n100_m449_b90_982.cnf,1.047779
CBS_k3_n100_m449_b90_498.cnf,5.176872
CBS_k3_n100_m449_b90_853.cnf,1.861412
CBS_k3_n100_m449_b90_907.cnf,0.487342
CBS_k3_n100_m449_b90_546.cnf,0.950646
CBS_k3_n100_m449_b90_236.cnf,0.229509
CBS_k3_n100_m449_b90_89.cnf,1.745174
CBS_k3_n100_m449_b90_996.cnf,2.209125
CBS_k3_n100_m449_b90_487.cnf,0.311071
CBS_k3_n100_m449_b90_432.cnf,0.535306
CBS_k3_n100_m449_b90_794.cnf,0.188693
CBS_k3_n100_m449_b90_803.cnf,0.036477
CBS_k3_n100_m449_b90_661.cnf,0.697774
CBS_k3_n100_m449_b90_655.cnf,0.020426
CBS_k3_n100_m449_b90_876.cnf,0.160310
CBS_k3_n100_m449_b90_856.cnf,1.667732
CBS_k3_n100_m449_b90_688.cnf,0.951873
CBS_k3_n100_m449_b90_774.cnf,1.889961
CBS_k3_n100_m449_b90_981.cnf,1.280917
CBS_k3_n100_m449_b90_741.cnf,0.661532
CBS_k3_n100_m449_b90_453.cnf,0.194024
CBS_k3_n100_m449_b90_726.cnf,0.410939
CBS_k3_n100_m449_b90_317.cnf,0.556542
CBS_k3_n100_m449_b90_313.cnf,0.602193
CBS_k3_n100_m449_b90_456.cnf,0.119952
CBS_k3_n100_m449_b90_901.cnf,1.003678
CBS_k3_n100_m449_b90_673.cnf,4.349847
CBS_k3_n100_m449_b90_181.cnf,3.137570
CBS_k3_n100_m449_b90_271.cnf,0.332309
CBS_k3_n100_m449_b90_594.cnf,0.063965
CBS_k3_n100_m449_b90_273.cnf,15.827576
CBS_k3_n100_m449_b90_975.cnf,0.623644
CBS_k3_n100_m449_b90_611.cnf,1.477387
CBS_k3_n100_m449_b90_449.cnf,2.734860
CBS_k3_n100_m449_b90_41.cnf,0.690904
CBS_k3_n100_m449_b90_321.cnf,1.857610
CBS_k3_n100_m449_b90_373.cnf,0.559611
CBS_k3_n100_m449_b90_220.cnf,0.099373
CBS_k3_n100_m449_b90_542.cnf,0.302696
CBS_k3_n100_m449_b90_352.cnf,0.378688
CBS_k3_n100_m449_b90_233.cnf,0.223632
CBS_k3_n100_m449_b90_308.cnf,2.255670
